NAME,MCAP,CMP,PE,Earning1,Earning2,Earning3,Earning4,DebtScore1,DebtScore2,DebtScore3,DebtScore4,DebtScore5,CashScore,IV-Max,IV-Avg,IV-Min,CAGR-Max,CAGR-Avg,CAGR-Min,ReturnMultiple-Max,ReturnMultiple-Avg,ReturnMultiple-Min
BHARAT ELECTRONICS LTD,33600.62,137.9,19.227162443635702,10.0,6.0,6.0,6.0,10.0,10.0,10.0,8.0,0.0,4.0,526.0248134314083,329.6113017780867,228.4957685772421,0.36352213146422385,0.2991825637703429,0.2500107158132343,22.213751751241112,13.699409037016096,9.314024167256576
BHARAT FORGE LTD,29648.68,636.8,889.0158920539736,5.0,5.0,5.0,5.0,10.0,4.0,0.0,0.0,6.0,8.0,1040.3338945717014,651.298594595857,451.0195432216294,0.2527884075267266,0.1936357577211345,0.14841351660420443,9.523076226117073,5.871082792645618,3.9900924114562693
BHARAT GEARS LTD,82.08,88.2,-6.4885375494071145,5.0,2.0,2.0,2.0,2.0,0.0,10.0,8.0,0.0,5.0,2345.298861863453,1465.682096575685,1012.8470676319383,0.6562190671759165,0.5779185483367706,0.5180199588571588,155.3022691676756,95.68543003967166,64.97926832292046
BHARAT IMMUNOLOGICAL & BIOLOGICAL CORPORATION LTD,219.79,50.9,-79.06115107913669,5.0,1.0,2.0,1.0,9.0,9.0,0.0,0.0,6.0,5.0,564.1579441478332,352.74428976517066,243.90654123708725,0.5173621520556768,0.4456521054264535,0.39080494236831664,64.69824072202017,39.86923755701465,27.080847605420214
BHARAT PARENTERALS LTD,222.34,388.05,8.522039095438865,8.0,7.0,6.0,6.0,10.0,10.0,10.0,0.0,0.0,1.0,-49.789081441072994,-27.809521615634164,-16.494236365850146,,,,-0.8366023106180132,-0.4980113684278487,-0.3236172143802781
BHARAT RASAYAN LTD,4943.01,11630.6,32.20831432853327,9.0,8.0,9.0,8.0,7.0,4.0,0.0,8.0,6.0,5.0,34467.1096799831,21541.2955612694,14886.964218853123,0.3299101935955351,0.26703910187309843,0.21894476966704368,17.307053988781757,10.663509931511872,7.2416958739620405
BHARAT ROAD NETWORK LTD,236.74,28.2,-8.251655629139073,4.0,1.0,1.0,1.0,5.0,5.0,0.0,8.0,6.0,1.0,-573.139517478322,-357.82423879617045,-246.97789718265554,,,,-118.83174774130637,-73.18921110052166,-49.68063312567318
BHARAT SEATS LTD,230.95,73.55,-190.8677685950416,5.0,4.0,4.0,4.0,3.0,3.0,0.0,8.0,6.0,6.0,-341.6608179487301,-213.23502473819028,-147.12021192355186,,,,-27.17023279451045,-16.73232123768673,-11.356185821301954
BHARAT WIRE ROPES LTD,292.84,46.8,-5.115109170305677,6.0,4.0,4.0,3.0,4.0,3.0,10.0,0.0,0.0,4.0,1720.6764706045135,1074.3646881470759,741.6372706335522,0.7109319925943736,0.6299929785530147,0.5680561925228507,214.94506191837166,132.39065662723246,89.87030572675673
BHARATIYA GLOBAL INFOMEDIA LTD,1.9,1.2,-1.6814159292035395,2.0,2.0,2.0,2.0,10.0,10.0,10.0,0.0,0.0,2.0,-11.938495714871346,-7.369271648016917,-5.0169918891294465,,,,-58.88728173634913,-36.12555304276343,-24.401930448190967
BHARTI AIRTEL LTD,312221.75,568.5,-9.595957500430284,8.0,2.0,2.0,2.0,9.0,7.0,0.0,0.0,0.0,3.0,-5172.882220921513,-3228.397905941968,-2227.358992402891,,,,-53.22218539054995,-32.77573099475272,-22.24461018401158
BHARTIYA INTERNATIONAL LTD,250.21,205.05,113.21719457013567,8.0,8.0,8.0,8.0,3.0,2.0,10.0,8.0,0.0,1.0,-1392.5470788109842,-862.025458899124,-588.9079120439593,,,,-40.075625079752996,-24.60929244434674,-16.64322584279205
BHASKAR AGROCHEMICALS LTD,19.04,36.55,52.88888888888886,4.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,388.8651515280736,242.78546653798185,167.58226328964372,0.511408043989029,0.4399045130297452,0.38518672630438155,62.20385392338499,38.312185694590355,26.006578100380775
BHATIA COMMUNICATIONS & RETAIL (INDIA) LTD,83.85,67.0,25.959752321981416,7.0,5.0,5.0,3.0,5.0,4.0,10.0,8.0,6.0,3.0,431.86383656526357,272.57119375047097,190.56583486447474,0.4358097200934732,0.3684168873249587,0.3170463247016746,37.23650321893262,23.024184183064992,15.704007986732252
